OBJECTID,aadt_type,priority,sh_sa_ir,faadt,fedfunccls,fed_urbrur,capacity,jurisdictn,link_id,nhs_status,num_lanes,offic_mile,prim_bmp,prirtecode,prim_emp,prirtename,segment_id,speed_lim,speedsrc,st_urbrur,strtname,townname,towncode,cntyname,cnty_no,surfc_type,dot_region,dot_regi_1,Shape_Leng,x,y,Damage_Status,Match_Type,Matched_Damage_OBJECTID,Dist_to_Damage_m,Z_Min,Z_Max,Z_Mean,Length3D,Min_Slope,Max_Slope,Avg_Slope,Shape_Length,Distance_to_Coast_m,Nearest_Gauge,Max_Height,Return_Period,Nearest_Wave_Gauge,Max_WVHT,Max_Dir,Avg_WVHT,Avg_Dir,Nearest_Wind_Gauge,Max_WSPD,Max_WSPD_Dir,Avg_WSPD,Avg_WSPD_Dir,Nearest_Precip_Gauge,Precipitation,Rel_Elev_Min,Rel_Elev_Mean,Rel_Elev_Max,Structure
67148,A,4,SA-002,2266,Major Collector,Rural,1800,State aid,3942537,Fed aid non-NHS,2,Y,0.88,0024X,1,ST RTE 24,18746,30,Posted,Rural,HARPSWELL ISLANDS RD,Harpswell,5110,Cumberland,5,Flexible,1,Southern,268.9000175,-69.99182194,43.74482238,No Damage,Control,116349,235.8097151,9,16.9383,11.3748308,,0,94.28037143,3.538432987,268.9000175,113.84383192448897,Portland,9.3,280.71,Portland,6.98,156,4.43,222.44,Portland,20.1,127,12.63,182.9,Harpswell,1.81,6.16536,14.10366,8.5401908,Cross Culvert
67194,A,4,SA-002,2266,Major Collector,Rural,1800,State aid,3942537,Fed aid non-NHS,2,Y,1.128,0024X,1.343,ST RTE 24,36501,30,Posted,Rural,HARPSWELL ISLANDS RD,Harpswell,5110,Cumberland,5,High rigid,1,Southern,481.8202651,-69.98924344,43.74829797,No Damage,Control,116349,297.2509693,0,4,0.869062479,,0,88.5408064,2.307713395,481.8202651,37.92582946428525,Portland,9.3,280.71,Portland,6.98,156,4.43,222.44,Portland,20.1,127,12.63,182.9,Harpswell,1.81,-2.83464,1.16536,-1.965577521,Bridge
99827,E,4,SA-002,2216,Major Collector,Rural,1800,State aid,3122233,Fed aid non-NHS,2,Y,0.59,0024X,0.88,ST RTE 24,40148,30,Posted,Rural,HARPSWELL ISLANDS RD,Harpswell,5110,Cumberland,5,Flexible,1,Southern,644.9994139,-69.99228204,43.74272068,No Damage,Control,116349,465.0010296,16.9452,26,24.32966856,,0,92.5781653,1.714341199,644.9994139,90.42260758321152,Portland,9.3,280.71,Portland,6.98,156,4.43,222.44,Portland,20.1,127,12.63,182.9,Harpswell,1.81,14.11056,23.16536,21.49502856,No Structure
201271,A,4,SA-002,2266,Major Collector,Rural,1800,State aid,3942537,Fed aid non-NHS,2,Y,1.343,0024X,1.5,ST RTE 24,55457,30,Posted,Rural,HARPSWELL ISLANDS RD,Harpswell,5110,Cumberland,5,Flexible,1,Southern,353.139031,-69.98686961,43.75041885,No Damage,Control,116349,591.7982952,0.2361,12,5.892913283,,0,91.84120474,4.547231253,353.139031,28.14838742368793,Portland,9.3,280.71,Portland,6.98,156,4.43,222.44,Portland,20.1,127,12.63,182.9,Harpswell,1.81,-2.59854,9.16536,3.058273283,Cross Culvert
199972,E,5,IR-0501365,55,Local,Rural,1000,Townway,5085127,Non-fed aid non-NHS,2,Y,0,501365,0.14,RD INV 05 01365,71581,,Unposted,Rural,BAKER POINT RD,Harpswell,5110,Cumberland,5,Flexible,1,Southern,320.8848721,-69.99480704,43.72735706,Damage,Damage,199972,,8,15,12.6090718,,0,81.57943829,2.864828823,320.8848721,82.15674947,Portland,9.3,280.71,Portland,6.98,156,4.43,222.44,Portland,20.1,127,12.63,182.9,Harpswell,1.81,5.16536,12.16536,9.7744318,No Structure
116350,E,5,IR-0501362,146,Local,Rural,1000,Townway,5095360,Non-fed aid non-NHS,2,Y,0.36,501362,0.39,RD INV 05 01362,83524,,Unposted,Rural,WASHINGTON AV,Harpswell,5110,Cumberland,5,Flexible,1,Southern,67.92043232,-69.996208,43.72740759,No Damage,Control,199972,112.7122487,14.6957,15.5387,15.01175337,,0,56.45288801,3.31795388,67.92043232,107.96833624088204,Portland,9.3,280.71,Portland,6.98,156,4.43,222.44,Portland,20.1,127,12.63,182.9,Harpswell,1.81,11.86106,12.70406,12.17711337,No Structure
100572,E,4,SA-002,974,Major Collector,Rural,1800,State aid,3122174,Fed aid non-NHS,2,Y,0.31,500391,0.33,RD INV 05 00391,21214,30,Posted,Rural,HARPSWELL ISLANDS RD,Harpswell,5110,Cumberland,5,Flexible,1,Southern,42.93977491,-69.99635423,43.72756426,No Damage,Control,199972,126.4389017,14,15,14.5389802,,0,50.56513042,2.508608836,42.93977491,88.81834617959342,Portland,9.3,280.71,Portland,6.98,156,4.43,222.44,Portland,20.1,127,12.63,182.9,Harpswell,1.81,11.16536,12.16536,11.7043402,No Structure
123191,E,4,SA-002,826,Major Collector,Rural,1800,State aid,3117879,Fed aid non-NHS,2,Y,0.33,500391,0.49,RD INV 05 00391,38047,30,Posted,Rural,HARPSWELL ISLANDS RD,Harpswell,5110,Cumberland,5,Flexible,1,Southern,347.7014691,-69.99695667,43.72675938,No Damage,Control,199972,185.0754302,8,19,15.2487054,,0,83.28340296,4.988151875,347.7014691,98.79726560101882,Portland,9.3,280.71,Portland,6.98,156,4.43,222.44,Portland,20.1,127,12.63,182.9,Harpswell,1.81,5.16536,16.16536,12.4140654,No Structure
138090,E,4,SA-002,1077,Major Collector,Rural,1800,State aid,3105747,Fed aid non-NHS,2,Y,0,500391,0.31,RD INV 05 00391,14042,30,Posted,Rural,HARPSWELL ISLANDS RD,Harpswell,5110,Cumberland,5,Flexible,1,Southern,689.689677,-69.99550104,43.72924779,No Damage,Control,199972,217.5094554,13,16,14.83731057,,0,91.14257208,1.176059332,689.689677,31.84594698538956,Portland,9.3,280.71,Portland,6.98,156,4.43,222.44,Portland,20.1,127,12.63,182.9,Harpswell,1.81,10.16536,13.16536,12.00267057,Cross Culvert
133266,E,5,IR-0501361,36,Local,Rural,1000,Townway,186442,Non-fed aid non-NHS,2,Y,0,501361,0.11,RD INV 05 01361,53130,,Unposted,Rural,STEAMBOAT WHARF LN,Harpswell,5110,Cumberland,5,Flexible,1,Southern,241.2715545,-69.99753224,43.72735933,No Damage,Control,199972,218.9797422,4,14,9.845141623,,0,95.03296167,5.160629002,241.2715545,37.92755102324853,Portland,9.3,280.71,Portland,6.98,156,4.43,222.44,Portland,20.1,127,12.63,182.9,Harpswell,1.81,1.16536,11.16536,7.010501623,No Structure
200201,E,5,IR-0500325,48,Local,Rural,1000,Townway,5085130,Non-fed aid non-NHS,2,Y,0,500325,0.14,RD INV 05 00325,94211,,Unposted,Rural,GRASSY RD,Harpswell,5110,Cumberland,5,Flexible,1,Southern,307.1128923,-69.98374371,43.75269668,Damage,Damage,200201,,20,26,22.55379458,,0,92.36808332,2.587458076,307.1128923,157.63558028936006,Portland,9.3,280.71,Portland,6.98,156,4.43,222.44,Portland,20.1,127,12.63,182.9,Harpswell,1.81,17.16536,23.16536,19.71915458,No Structure
